Permalink,Comment
1456237437890333,Thank you
1456237437890333,Shouldn't we have backup on MeWe in case Facebook does what Facebook likes to do?
1456237437890333,See this https://www.thegatewaypundit.com/.../confirmed-governor.../
1456237437890333,Re-Open AmericaMother Of All Bombs! (start watching at 4:54)…See More
1456237437890333,Why did one person hit the laugh button on this?
1456237437890333,"Thank you , Craig  Derry !  So vital to know !"
1456237437890333,Why did Alegandro Roberto laugh at this?  Admin?
1456237437890333,Thank you for the invite.  Have a Great Memorial day weekend and enjoy your Blessings ❤
1456237437890333,"What this silly meme fails to mention is almost half the people infected are asymptomatic, half of the ones who display symptoms are barely sick. If you are under 65 you have a very insignificant chance of displaying anything more than mild flu symptom…See More"
1456237437890333,"Craig Dery I have legal, actionable information people need - it's being BLOCKED. Please DM ME."
1456237437890333,Craig Dery shorturl.at/qAO24
1456237437890333,Craig Dery shorturl.at/CGPT5
1456237437890333,"Trump is at war with Twitter, Trump mention, when the looting starts the shooting starts, and he is right.. meaning.. people that are looting are also robing people, and will shoot people if you are looting the TV they want. Looting is a very ugly thin…See More"
1456237437890333,"Hi,  I have 2 posts waiting to be okayed  -  one from earlier in the month.  thanks"
1456237437890333,And vote republican that's the only way we can get out of this mess the Democrats caused with china
1468846026629474,Liberal birth control! I like it
1468846026629474,I think I'll hold on to mine for a bit
1468846026629474,I think we passed that
1468846026629474,Shouldn’t scientists have something better to study than this?
1468846026629474,"My thought is those that are wearing the masks (muzzles) are showing compliance to whatever the hell they are going to roll out next (ET Invasion, it's all propaganda theater) while everyone else is being facial recognized and put into a data base as potential non-conformist."
1468846026629474,OMG - GTFO of here so stupid!!
1468846026629474,Wear a mask while she gives me a blow job?
1468846026629474,Takes oral sex off the table
1468846026629474,Omg. This is stupid. They would be in your Covid circle already unless your a slut
1468846026629474,What the fuck this shit just gets dumber by the day. Let's just all wear giant bubbles.
1468846026629474,Obserd..!
1468846026629474,"This is about the stupidest shit i heard today, maybe several days"
1468846026629474, Especially if they are ugly!
1468846026629474,I’m already taking the mask off somebody doesn’t like it there will have to deal with it I cannot breathe in the damn things.
1468846026629474,"No, just go in from under the mask(for the ladies). For the guys, just cut a tongue size slit). A slit for a slit !"
1468846026629474,Stupid
1468846026629474,Stupid stupid people
1468846026629474,"Just another ""EXPERT"" adding to the crap show. Even the so called real experts have come to the conclusion that the virus was no where near what they thought it would be and wearing mask does not one thing to prevent Covid19."
1468846026629474,"Are you sure the know how sex is done, aren't they covering the wrong end.. ."
1468846026629474,Sick of false information.
1468846026629474,Omg what the f&@* ever
1468846026629474,Optional? Of Course?!? 😔🤬😂
1468846026629474,Does a mask have a reservoir tip?
1468846026629474,well we all know scientists from harvard dont have even 1 chance in being sexually active so....
1468846026629474,"Its coming...just wait, entire body mask coverings."
1468846026629474,LOL
1468846026629474,"Well if that’s your thing I guess. I hesitate to condemn somebody else’s kink, so... yeah."
1468846026629474,But contraceptive birth control is not being pushed because abortions mean nothing to the people pushing this agenda.
1468846026629474,Disgusting.
1468846026629474,But if you want to riot that’s ok no Covid risk there
1468846026629474,"Well...This is the stupidest thing I""ve seen in a while"" Abstinence and masturbation were ranked as ‘low risk’ sexual activities"
1468846026629474,OOH!!!!  Kinky....
1468846026629474,They need drug tested.
1468846026629474,No to masks.
1468846026629474,Hahah stfu
1468846026629474,I don't f**king think so!
1468846026629474,Can't get people to wear condoms and they think people will wear masks?!? That's funny.
1468846026629474,Mutual auto erotic asphyxiation? No thank you
1468846026629474,Little late for that😳😳🤣🤣🤣🤣
1468846026629474,Idiocracy.
1468846026629474,Over the lense of the government cameras.
1468846026629474,Stupid terns need to use condoms so there kids not as stupid as them !
1468846026629474,Kate always has your back
1468846026629474,Oh nice. A new kink to try. 😆
1468846026629474,Freaking rediculous!!!!!
1468985433282200,Really?????
1468985433282200,Good. Sick of the lies!
1468985433282200,Lies!!!! Lies!!!! Our media and government has lost all credibility.
1468985433282200,"Thank you ,funeral director ,Patriots"
1468985433282200,Finally
1468985433282200,"Tax, tax, tax, covid, covid, covid. I dont see a difference, anything to get more funding for their greedy asses"
1468985433282200,Padding the numbers to destroy Trump!
1468985433282200,Thank you Project Veritos also. It is not that we did not suspect this but it is good to have it verified.
1468985433282200,About time
